pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿En qué año se produjo la Revolución de Mayo? (1),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (2),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (3),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (4),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (5),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (6),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (7),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (8),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (9),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (10),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (11),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (12),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (13),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (14),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (15),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (16),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (17),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (18),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (19),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (20),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (21),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (22),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (23),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (24),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (25),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (26),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (27),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (28),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (29),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (30),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (31),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (32),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (33),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (34),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (35),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (36),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (37),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (38),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (39),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (40),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿Cuántos Mundiales ganó Argentina hasta 2022? (1),1,2,3,4,3
¿Quién hizo el 'Gol del Siglo'? (2),Messi,Maradona,Batistuta,Aimar,2
¿Qué equipo ganó la Copa Libertadores 2018? (3),Boca Juniors,River Plate,Flamengo,Palmeiras,2
¿Qué selección ganó el Mundial 2014? (4),Brasil,Alemania,España,Francia,2
¿Quién es el máximo goleador histórico del Real Madrid? (5),Cristiano Ronaldo,Raúl,Benzema,Di Stéfano,1
¿Cuántos Mundiales ganó Argentina hasta 2022? (6),1,2,3,4,3
¿Quién hizo el 'Gol del Siglo'? (7),Messi,Maradona,Batistuta,Aimar,2
¿Qué equipo ganó la Copa Libertadores 2018? (8),Boca Juniors,River Plate,Flamengo,Palmeiras,2
¿Qué selección ganó el Mundial 2014? (9),Brasil,Alemania,España,Francia,2
¿Quién es el máximo goleador histórico del Real Madrid? (10),Cristiano Ronaldo,Raúl,Benzema,Di Stéfano,1
¿Cuántos Mundiales ganó Argentina hasta 2022? (11),1,2,3,4,3
¿Quién hizo el 'Gol del Siglo'? (12),Messi,Maradona,Batistuta,Aimar,2
¿Qué equipo ganó la Copa Libertadores 2018? (13),Boca Juniors,River Plate,Flamengo,Palmeiras,2
¿Qué selección ganó el Mundial 2014? (14),Brasil,Alemania,España,Francia,2
¿Quién es el máximo goleador histórico del Real Madrid? (15),Cristiano Ronaldo,Raúl,Benzema,Di Stéfano,1
¿Cuántos Mundiales ganó Argentina hasta 2022? (16),1,2,3,4,3
¿Quién hizo el 'Gol del Siglo'? (17),Messi,Maradona,Batistuta,Aimar,2
¿Qué equipo ganó la Copa Libertadores 2018? (18),Boca Juniors,River Plate,Flamengo,Palmeiras,2
¿Qué selección ganó el Mundial 2014? (19),Brasil,Alemania,España,Francia,2
¿Quién es el máximo goleador histórico del Real Madrid? (20),Cristiano Ronaldo,Raúl,Benzema,Di Stéfano,1
¿Cuántos Mundiales ganó Argentina hasta 2022? (21),1,2,3,4,3
¿Quién hizo el 'Gol del Siglo'? (22),Messi,Maradona,Batistuta,Aimar,2
¿Qué equipo ganó la Copa Libertadores 2018? (23),Boca Juniors,River Plate,Flamengo,Palmeiras,2
¿Qué selección ganó el Mundial 2014? (24),Brasil,Alemania,España,Francia,2
¿Quién es el máximo goleador histórico del Real Madrid? (25),Cristiano Ronaldo,Raúl,Benzema,Di Stéfano,1
¿Cuántos Mundiales ganó Argentina hasta 2022? (26),1,2,3,4,3
¿Quién hizo el 'Gol del Siglo'? (27),Messi,Maradona,Batistuta,Aimar,2
¿Qué equipo ganó la Copa Libertadores 2018? (28),Boca Juniors,River Plate,Flamengo,Palmeiras,2
¿Qué selección ganó el Mundial 2014? (29),Brasil,Alemania,España,Francia,2
¿Quién es el máximo goleador histórico del Real Madrid? (30),Cristiano Ronaldo,Raúl,Benzema,Di Stéfano,1
¿Cuántos Mundiales ganó Argentina hasta 2022? (31),1,2,3,4,3
¿Quién hizo el 'Gol del Siglo'? (32),Messi,Maradona,Batistuta,Aimar,2
¿Qué equipo ganó la Copa Libertadores 2018? (33),Boca Juniors,River Plate,Flamengo,Palmeiras,2
¿Qué selección ganó el Mundial 2014? (34),Brasil,Alemania,España,Francia,2
¿Quién es el máximo goleador histórico del Real Madrid? (35),Cristiano Ronaldo,Raúl,Benzema,Di Stéfano,1
¿Cuántos Mundiales ganó Argentina hasta 2022? (36),1,2,3,4,3
¿Quién hizo el 'Gol del Siglo'? (37),Messi,Maradona,Batistuta,Aimar,2
¿Qué equipo ganó la Copa Libertadores 2018? (38),Boca Juniors,River Plate,Flamengo,Palmeiras,2
¿Qué selección ganó el Mundial 2014? (39),Brasil,Alemania,España,Francia,2
¿Quién es el máximo goleador histórico del Real Madrid? (40),Cristiano Ronaldo,Raúl,Benzema,Di Stéfano,1
¿Cuál es la capital de Tierra del Fuego? (1),Río Grande,Ushuaia,Tolhuin,Puerto Almanza,2
¿Dónde está el Aconcagua? (2),Mendoza,San Juan,Salta,Neuquén,1
¿Cuál es el país más grande del mundo? (3),China,Canadá,Rusia,EE.UU.,3
¿Qué río cruza Buenos Aires? (4),Paraná,Pilcomayo,Riachuelo,Río de la Plata,4
¿Qué país no tiene salida al mar? (5),Bolivia,Chile,Uruguay,Perú,1
¿Cuál es la capital de Tierra del Fuego? (6),Río Grande,Ushuaia,Tolhuin,Puerto Almanza,2
¿Dónde está el Aconcagua? (7),Mendoza,San Juan,Salta,Neuquén,1
¿Cuál es el país más grande del mundo? (8),China,Canadá,Rusia,EE.UU.,3
¿Qué río cruza Buenos Aires? (9),Paraná,Pilcomayo,Riachuelo,Río de la Plata,4
¿Qué país no tiene salida al mar? (10),Bolivia,Chile,Uruguay,Perú,1
¿Cuál es la capital de Tierra del Fuego? (11),Río Grande,Ushuaia,Tolhuin,Puerto Almanza,2
¿Dónde está el Aconcagua? (12),Mendoza,San Juan,Salta,Neuquén,1
¿Cuál es el país más grande del mundo? (13),China,Canadá,Rusia,EE.UU.,3
¿Qué río cruza Buenos Aires? (14),Paraná,Pilcomayo,Riachuelo,Río de la Plata,4
¿Qué país no tiene salida al mar? (15),Bolivia,Chile,Uruguay,Perú,1
¿Cuál es la capital de Tierra del Fuego? (16),Río Grande,Ushuaia,Tolhuin,Puerto Almanza,2
¿Dónde está el Aconcagua? (17),Mendoza,San Juan,Salta,Neuquén,1
¿Cuál es el país más grande del mundo? (18),China,Canadá,Rusia,EE.UU.,3
¿Qué río cruza Buenos Aires? (19),Paraná,Pilcomayo,Riachuelo,Río de la Plata,4
¿Qué país no tiene salida al mar? (20),Bolivia,Chile,Uruguay,Perú,1
¿Cuál es la capital de Tierra del Fuego? (21),Río Grande,Ushuaia,Tolhuin,Puerto Almanza,2
¿Dónde está el Aconcagua? (22),Mendoza,San Juan,Salta,Neuquén,1
¿Cuál es el país más grande del mundo? (23),China,Canadá,Rusia,EE.UU.,3
¿Qué río cruza Buenos Aires? (24),Paraná,Pilcomayo,Riachuelo,Río de la Plata,4
¿Qué país no tiene salida al mar? (25),Bolivia,Chile,Uruguay,Perú,1
¿Cuál es la capital de Tierra del Fuego? (26),Río Grande,Ushuaia,Tolhuin,Puerto Almanza,2
¿Dónde está el Aconcagua? (27),Mendoza,San Juan,Salta,Neuquén,1
¿Cuál es el país más grande del mundo? (28),China,Canadá,Rusia,EE.UU.,3
¿Qué río cruza Buenos Aires? (29),Paraná,Pilcomayo,Riachuelo,Río de la Plata,4
¿Qué país no tiene salida al mar? (30),Bolivia,Chile,Uruguay,Perú,1
¿Cuál es la capital de Tierra del Fuego? (31),Río Grande,Ushuaia,Tolhuin,Puerto Almanza,2
¿Dónde está el Aconcagua? (32),Mendoza,San Juan,Salta,Neuquén,1
¿Cuál es el país más grande del mundo? (33),China,Canadá,Rusia,EE.UU.,3
¿Qué río cruza Buenos Aires? (34),Paraná,Pilcomayo,Riachuelo,Río de la Plata,4
¿Qué país no tiene salida al mar? (35),Bolivia,Chile,Uruguay,Perú,1
¿Cuál es la capital de Tierra del Fuego? (36),Río Grande,Ushuaia,Tolhuin,Puerto Almanza,2
¿Dónde está el Aconcagua? (37),Mendoza,San Juan,Salta,Neuquén,1
¿Cuál es el país más grande del mundo? (38),China,Canadá,Rusia,EE.UU.,3
¿Qué río cruza Buenos Aires? (39),Paraná,Pilcomayo,Riachuelo,Río de la Plata,4
¿Qué país no tiene salida al mar? (40),Bolivia,Chile,Uruguay,Perú,1
¿Quién interpreta a Harry Potter en el cine? (1),Elijah Wood,Daniel Radcliffe,Rupert Grint,Tom Holland,2
¿Qué serie es conocida por el Trono de Hierro? (2),Vikingos,Breaking Bad,Juego de Tronos,The Witcher,3
¿Cuál es el nombre del protagonista de Breaking Bad? (3),Jesse Pinkman,Saul Goodman,Walter White,Hank Schrader,3
¿Quién canta 'Shape of You'? (4),Ed Sheeran,Justin Bieber,Shawn Mendes,Harry Styles,1
¿Cuál de estos no es un superhéroe de Marvel? (5),Spider-Man,Batman,Iron Man,Hulk,2
¿Quién interpreta a Harry Potter en el cine? (6),Elijah Wood,Daniel Radcliffe,Rupert Grint,Tom Holland,2
¿Qué serie es conocida por el Trono de Hierro? (7),Vikingos,Breaking Bad,Juego de Tronos,The Witcher,3
¿Cuál es el nombre del protagonista de Breaking Bad? (8),Jesse Pinkman,Saul Goodman,Walter White,Hank Schrader,3
¿Quién canta 'Shape of You'? (9),Ed Sheeran,Justin Bieber,Shawn Mendes,Harry Styles,1
¿Cuál de estos no es un superhéroe de Marvel? (10),Spider-Man,Batman,Iron Man,Hulk,2
¿Quién interpreta a Harry Potter en el cine? (11),Elijah Wood,Daniel Radcliffe,Rupert Grint,Tom Holland,2
¿Qué serie es conocida por el Trono de Hierro? (12),Vikingos,Breaking Bad,Juego de Tronos,The Witcher,3
¿Cuál es el nombre del protagonista de Breaking Bad? (13),Jesse Pinkman,Saul Goodman,Walter White,Hank Schrader,3
¿Quién canta 'Shape of You'? (14),Ed Sheeran,Justin Bieber,Shawn Mendes,Harry Styles,1
¿Cuál de estos no es un superhéroe de Marvel? (15),Spider-Man,Batman,Iron Man,Hulk,2
¿Quién interpreta a Harry Potter en el cine? (16),Elijah Wood,Daniel Radcliffe,Rupert Grint,Tom Holland,2
¿Qué serie es conocida por el Trono de Hierro? (17),Vikingos,Breaking Bad,Juego de Tronos,The Witcher,3
¿Cuál es el nombre del protagonista de Breaking Bad? (18),Jesse Pinkman,Saul Goodman,Walter White,Hank Schrader,3
¿Quién canta 'Shape of You'? (19),Ed Sheeran,Justin Bieber,Shawn Mendes,Harry Styles,1
¿Cuál de estos no es un superhéroe de Marvel? (20),Spider-Man,Batman,Iron Man,Hulk,2
¿Quién interpreta a Harry Potter en el cine? (21),Elijah Wood,Daniel Radcliffe,Rupert Grint,Tom Holland,2
¿Qué serie es conocida por el Trono de Hierro? (22),Vikingos,Breaking Bad,Juego de Tronos,The Witcher,3
¿Cuál es el nombre del protagonista de Breaking Bad? (23),Jesse Pinkman,Saul Goodman,Walter White,Hank Schrader,3
¿Quién canta 'Shape of You'? (24),Ed Sheeran,Justin Bieber,Shawn Mendes,Harry Styles,1
¿Cuál de estos no es un superhéroe de Marvel? (25),Spider-Man,Batman,Iron Man,Hulk,2
¿Quién interpreta a Harry Potter en el cine? (26),Elijah Wood,Daniel Radcliffe,Rupert Grint,Tom Holland,2
¿Qué serie es conocida por el Trono de Hierro? (27),Vikingos,Breaking Bad,Juego de Tronos,The Witcher,3
¿Cuál es el nombre del protagonista de Breaking Bad? (28),Jesse Pinkman,Saul Goodman,Walter White,Hank Schrader,3
¿Quién canta 'Shape of You'? (29),Ed Sheeran,Justin Bieber,Shawn Mendes,Harry Styles,1
¿Cuál de estos no es un superhéroe de Marvel? (30),Spider-Man,Batman,Iron Man,Hulk,2
¿Quién interpreta a Harry Potter en el cine? (31),Elijah Wood,Daniel Radcliffe,Rupert Grint,Tom Holland,2
¿Qué serie es conocida por el Trono de Hierro? (32),Vikingos,Breaking Bad,Juego de Tronos,The Witcher,3
¿Cuál es el nombre del protagonista de Breaking Bad? (33),Jesse Pinkman,Saul Goodman,Walter White,Hank Schrader,3
¿Quién canta 'Shape of You'? (34),Ed Sheeran,Justin Bieber,Shawn Mendes,Harry Styles,1
¿Cuál de estos no es un superhéroe de Marvel? (35),Spider-Man,Batman,Iron Man,Hulk,2
¿Quién interpreta a Harry Potter en el cine? (36),Elijah Wood,Daniel Radcliffe,Rupert Grint,Tom Holland,2
¿Qué serie es conocida por el Trono de Hierro? (37),Vikingos,Breaking Bad,Juego de Tronos,The Witcher,3
¿Cuál es el nombre del protagonista de Breaking Bad? (38),Jesse Pinkman,Saul Goodman,Walter White,Hank Schrader,3
¿Quién canta 'Shape of You'? (39),Ed Sheeran,Justin Bieber,Shawn Mendes,Harry Styles,1
¿Cuál de estos no es un superhéroe de Marvel? (40),Spider-Man,Batman,Iron Man,Hulk,2
¿Quién pintó la Capilla Sixtina? (1),Da Vinci,Miguel Ángel,Van Gogh,Picasso,2
¿Qué estilo artístico es Salvador Dalí? (2),Surrealismo,Cubismo,Impresionismo,Realismo,1
¿Qué instrumento usaba más Frida Kahlo? (3),Pincel,Cámara,Cincel,Tinta,1
¿Quién pintó 'La noche estrellada'? (4),Van Gogh,Monet,Goya,Klimt,1
¿Qué corriente fundó Picasso? (5),Cubismo,Surrealismo,Impresionismo,Barroco,1
¿Quién pintó la Capilla Sixtina? (6),Da Vinci,Miguel Ángel,Van Gogh,Picasso,2
¿Qué estilo artístico es Salvador Dalí? (7),Surrealismo,Cubismo,Impresionismo,Realismo,1
¿Qué instrumento usaba más Frida Kahlo? (8),Pincel,Cámara,Cincel,Tinta,1
¿Quién pintó 'La noche estrellada'? (9),Van Gogh,Monet,Goya,Klimt,1
¿Qué corriente fundó Picasso? (10),Cubismo,Surrealismo,Impresionismo,Barroco,1
¿Quién pintó la Capilla Sixtina? (11),Da Vinci,Miguel Ángel,Van Gogh,Picasso,2
¿Qué estilo artístico es Salvador Dalí? (12),Surrealismo,Cubismo,Impresionismo,Realismo,1
¿Qué instrumento usaba más Frida Kahlo? (13),Pincel,Cámara,Cincel,Tinta,1
¿Quién pintó 'La noche estrellada'? (14),Van Gogh,Monet,Goya,Klimt,1
¿Qué corriente fundó Picasso? (15),Cubismo,Surrealismo,Impresionismo,Barroco,1
¿Quién pintó la Capilla Sixtina? (16),Da Vinci,Miguel Ángel,Van Gogh,Picasso,2
¿Qué estilo artístico es Salvador Dalí? (17),Surrealismo,Cubismo,Impresionismo,Realismo,1
¿Qué instrumento usaba más Frida Kahlo? (18),Pincel,Cámara,Cincel,Tinta,1
¿Quién pintó 'La noche estrellada'? (19),Van Gogh,Monet,Goya,Klimt,1
¿Qué corriente fundó Picasso? (20),Cubismo,Surrealismo,Impresionismo,Barroco,1
¿Quién pintó la Capilla Sixtina? (21),Da Vinci,Miguel Ángel,Van Gogh,Picasso,2
¿Qué estilo artístico es Salvador Dalí? (22),Surrealismo,Cubismo,Impresionismo,Realismo,1
¿Qué instrumento usaba más Frida Kahlo? (23),Pincel,Cámara,Cincel,Tinta,1
¿Quién pintó 'La noche estrellada'? (24),Van Gogh,Monet,Goya,Klimt,1
¿Qué corriente fundó Picasso? (25),Cubismo,Surrealismo,Impresionismo,Barroco,1
¿Quién pintó la Capilla Sixtina? (26),Da Vinci,Miguel Ángel,Van Gogh,Picasso,2
¿Qué estilo artístico es Salvador Dalí? (27),Surrealismo,Cubismo,Impresionismo,Realismo,1
¿Qué instrumento usaba más Frida Kahlo? (28),Pincel,Cámara,Cincel,Tinta,1
¿Quién pintó 'La noche estrellada'? (29),Van Gogh,Monet,Goya,Klimt,1
¿Qué corriente fundó Picasso? (30),Cubismo,Surrealismo,Impresionismo,Barroco,1
¿Quién pintó la Capilla Sixtina? (31),Da Vinci,Miguel Ángel,Van Gogh,Picasso,2
¿Qué estilo artístico es Salvador Dalí? (32),Surrealismo,Cubismo,Impresionismo,Realismo,1
¿Qué instrumento usaba más Frida Kahlo? (33),Pincel,Cámara,Cincel,Tinta,1
¿Quién pintó 'La noche estrellada'? (34),Van Gogh,Monet,Goya,Klimt,1
¿Qué corriente fundó Picasso? (35),Cubismo,Surrealismo,Impresionismo,Barroco,1
¿Quién pintó la Capilla Sixtina? (36),Da Vinci,Miguel Ángel,Van Gogh,Picasso,2
¿Qué estilo artístico es Salvador Dalí? (37),Surrealismo,Cubismo,Impresionismo,Realismo,1
¿Qué instrumento usaba más Frida Kahlo? (38),Pincel,Cámara,Cincel,Tinta,1
¿Quién pintó 'La noche estrellada'? (39),Van Gogh,Monet,Goya,Klimt,1
¿Qué corriente fundó Picasso? (40),Cubismo,Surrealismo,Impresionismo,Barroco,1
¿Quién formuló la ley de la gravedad? (1),Einstein,Newton,Bohr,Tesla,2
¿Cuál es la unidad de fuerza? (2),Pascal,Joule,Newton,Watt,3
¿Qué partícula tiene carga negativa? (3),Protón,Neutrón,Electrón,Fotón,3
¿Qué estudia la termodinámica? (4),Calor y energía,Luz,Movimiento,Óptica,1
¿Qué velocidad tiene la luz? (5),"300,000 km/s","150,000 km/s","30,000 km/s","3,000 km/s",1
¿Quién formuló la ley de la gravedad? (6),Einstein,Newton,Bohr,Tesla,2
¿Cuál es la unidad de fuerza? (7),Pascal,Joule,Newton,Watt,3
¿Qué partícula tiene carga negativa? (8),Protón,Neutrón,Electrón,Fotón,3
¿Qué estudia la termodinámica? (9),Calor y energía,Luz,Movimiento,Óptica,1
¿Qué velocidad tiene la luz? (10),"300,000 km/s","150,000 km/s","30,000 km/s","3,000 km/s",1
¿Quién formuló la ley de la gravedad? (11),Einstein,Newton,Bohr,Tesla,2
¿Cuál es la unidad de fuerza? (12),Pascal,Joule,Newton,Watt,3
¿Qué partícula tiene carga negativa? (13),Protón,Neutrón,Electrón,Fotón,3
¿Qué estudia la termodinámica? (14),Calor y energía,Luz,Movimiento,Óptica,1
¿Qué velocidad tiene la luz? (15),"300,000 km/s","150,000 km/s","30,000 km/s","3,000 km/s",1
¿Quién formuló la ley de la gravedad? (16),Einstein,Newton,Bohr,Tesla,2
¿Cuál es la unidad de fuerza? (17),Pascal,Joule,Newton,Watt,3
¿Qué partícula tiene carga negativa? (18),Protón,Neutrón,Electrón,Fotón,3
¿Qué estudia la termodinámica? (19),Calor y energía,Luz,Movimiento,Óptica,1
¿Qué velocidad tiene la luz? (20),"300,000 km/s","150,000 km/s","30,000 km/s","3,000 km/s",1
¿Quién formuló la ley de la gravedad? (21),Einstein,Newton,Bohr,Tesla,2
¿Cuál es la unidad de fuerza? (22),Pascal,Joule,Newton,Watt,3
¿Qué partícula tiene carga negativa? (23),Protón,Neutrón,Electrón,Fotón,3
¿Qué estudia la termodinámica? (24),Calor y energía,Luz,Movimiento,Óptica,1
¿Qué velocidad tiene la luz? (25),"300,000 km/s","150,000 km/s","30,000 km/s","3,000 km/s",1
¿Quién formuló la ley de la gravedad? (26),Einstein,Newton,Bohr,Tesla,2
¿Cuál es la unidad de fuerza? (27),Pascal,Joule,Newton,Watt,3
¿Qué partícula tiene carga negativa? (28),Protón,Neutrón,Electrón,Fotón,3
¿Qué estudia la termodinámica? (29),Calor y energía,Luz,Movimiento,Óptica,1
¿Qué velocidad tiene la luz? (30),"300,000 km/s","150,000 km/s","30,000 km/s","3,000 km/s",1
¿Quién formuló la ley de la gravedad? (31),Einstein,Newton,Bohr,Tesla,2
¿Cuál es la unidad de fuerza? (32),Pascal,Joule,Newton,Watt,3
¿Qué partícula tiene carga negativa? (33),Protón,Neutrón,Electrón,Fotón,3
¿Qué estudia la termodinámica? (34),Calor y energía,Luz,Movimiento,Óptica,1
¿Qué velocidad tiene la luz? (35),"300,000 km/s","150,000 km/s","30,000 km/s","3,000 km/s",1
¿Quién formuló la ley de la gravedad? (36),Einstein,Newton,Bohr,Tesla,2
¿Cuál es la unidad de fuerza? (37),Pascal,Joule,Newton,Watt,3
¿Qué partícula tiene carga negativa? (38),Protón,Neutrón,Electrón,Fotón,3
¿Qué estudia la termodinámica? (39),Calor y energía,Luz,Movimiento,Óptica,1
¿Qué velocidad tiene la luz? (40),"300,000 km/s","150,000 km/s","30,000 km/s","3,000 km/s",1
¿Qué guerra terminó con el Tratado de Versalles?,Guerra de Vietnam,Segunda Guerra Mundial,Guerra Fría,Primera Guerra Mundial,4
¿Quién fue el primer presidente de Estados Unidos?,Abraham Lincoln,Thomas Jefferson,George Washington,John Adams,3
¿En qué año cayó el Muro de Berlín?,1991,1985,1989,1993,3
¿Qué imperio construyó el Coliseo?,El Imperio Griego,El Imperio Otomano,El Imperio Bizantino,El Imperio Romano,4
¿Quién fue Napoleón Bonaparte?,Emperador de Francia,Presidente de Italia,Rey de España,Zar de Rusia,1
¿Qué guerra terminó con el Tratado de Versalles?,Primera Guerra Mundial,Guerra de Vietnam,Guerra Fría,Segunda Guerra Mundial,1
¿Quién fue el primer presidente de Estados Unidos?,Thomas Jefferson,John Adams,George Washington,Abraham Lincoln,3
¿En qué año cayó el Muro de Berlín?,1989,1985,1993,1991,1
¿Qué imperio construyó el Coliseo?,El Imperio Otomano,El Imperio Romano,El Imperio Bizantino,El Imperio Griego,2
¿Quién fue Napoleón Bonaparte?,Zar de Rusia,Presidente de Italia,Rey de España,Emperador de Francia,4
¿Qué guerra terminó con el Tratado de Versalles?,Primera Guerra Mundial,Guerra Fría,Guerra de Vietnam,Segunda Guerra Mundial,1
¿Quién fue el primer presidente de Estados Unidos?,John Adams,Thomas Jefferson,Abraham Lincoln,George Washington,4
¿En qué año cayó el Muro de Berlín?,1985,1991,1989,1993,3
¿Qué imperio construyó el Coliseo?,El Imperio Griego,El Imperio Bizantino,El Imperio Romano,El Imperio Otomano,3
¿Quién fue Napoleón Bonaparte?,Presidente de Italia,Rey de España,Zar de Rusia,Emperador de Francia,4
¿Qué guerra terminó con el Tratado de Versalles?,Segunda Guerra Mundial,Guerra de Vietnam,Guerra Fría,Primera Guerra Mundial,4
¿Quién fue el primer presidente de Estados Unidos?,John Adams,George Washington,Abraham Lincoln,Thomas Jefferson,2
¿En qué año cayó el Muro de Berlín?,1993,1989,1985,1991,2
¿Qué imperio construyó el Coliseo?,El Imperio Bizantino,El Imperio Otomano,El Imperio Romano,El Imperio Griego,3
¿Quién fue Napoleón Bonaparte?,Presidente de Italia,Emperador de Francia,Rey de España,Zar de Rusia,2
¿Qué guerra terminó con el Tratado de Versalles?,Segunda Guerra Mundial,Guerra Fría,Primera Guerra Mundial,Guerra de Vietnam,3
¿Quién fue el primer presidente de Estados Unidos?,Thomas Jefferson,John Adams,Abraham Lincoln,George Washington,4
¿En qué año cayó el Muro de Berlín?,1989,1991,1993,1985,1
¿Qué imperio construyó el Coliseo?,El Imperio Bizantino,El Imperio Griego,El Imperio Romano,El Imperio Otomano,3
¿Quién fue Napoleón Bonaparte?,Emperador de Francia,Zar de Rusia,Rey de España,Presidente de Italia,1
¿Qué guerra terminó con el Tratado de Versalles?,Segunda Guerra Mundial,Guerra de Vietnam,Primera Guerra Mundial,Guerra Fría,3
¿Quién fue el primer presidente de Estados Unidos?,Thomas Jefferson,John Adams,Abraham Lincoln,George Washington,4
¿En qué año cayó el Muro de Berlín?,1989,1991,1985,1993,1
¿Qué imperio construyó el Coliseo?,El Imperio Romano,El Imperio Otomano,El Imperio Bizantino,El Imperio Griego,1
¿Quién fue Napoleón Bonaparte?,Presidente de Italia,Zar de Rusia,Emperador de Francia,Rey de España,3
¿Qué guerra terminó con el Tratado de Versalles?,Guerra Fría,Guerra de Vietnam,Segunda Guerra Mundial,Primera Guerra Mundial,4
